track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,rn,playlists_total_outros,charts_total_outros,presenca_total_outros
5128815,12,2,4,0,0,1,16,2,18
1828295,27,2,31,0,0,1,58,2,60
6143073,2,2,6,0,2,1,8,4,12
5158640,34,2,33,0,1,1,67,3,70
6193307,13,2,31,0,0,1,44,2,46
5355322,36,2,11,0,14,1,47,16,63
3355993,0,2,2,0,0,1,2,2,4
6549461,45,2,26,0,1,1,71,3,74
3872585,4,2,50,0,0,1,54,2,56
6333549,23,2,21,0,0,1,44,2,46
8725160,42,2,57,0,0,1,99,2,101
6107475,26,2,15,0,2,1,41,4,45
4671002,26,2,30,0,0,1,56,2,58
3519068,12,2,13,0,4,1,25,6,31
7498965,10,2,150,0,0,1,160,2,162
4830246,10,2,13,0,1,1,23,3,26
6270180,53,2,33,0,0,1,86,2,88
2582262,22,3,0,0,0,1,22,3,25
5554493,3,3,6,0,0,1,9,3,12
3895305,29,3,18,0,19,1,47,22,69
4967469,32,3,9,0,0,1,41,3,44
2661792,26,3,39,0,0,1,65,3,68
3023667,25,3,52,0,1,1,77,4,81
6575753,69,3,70,0,3,1,139,6,145
2503884,14,3,81,0,0,1,95,3,98
5899602,10,3,12,0,0,1,22,3,25
4069645,21,3,10,0,0,1,31,3,34
5565096,49,3,57,0,0,1,106,3,109
4169887,7,3,89,0,0,1,96,3,99
6390690,55,3,32,0,0,1,87,3,90
6372213,6,3,15,0,0,1,21,3,24
3092002,32,3,65,0,0,1,97,3,100
2307433,20,3,39,0,0,1,59,3,62
2830739,15,3,3,0,0,1,18,3,21
6457168,17,3,3,0,0,1,20,3,23
1336403,34,3,30,0,0,1,64,3,67
3434265,20,3,24,0,0,1,44,3,47
6057014,4,3,19,0,0,1,23,3,26
6895326,37,3,27,0,50,1,64,53,117
5911914,57,4,48,0,0,1,105,4,109
5922471,0,4,23,0,0,1,23,4,27
8297242,21,4,13,0,4,1,34,8,42
2987518,20,4,52,0,1,1,72,5,77
7036044,10,4,4,0,0,1,14,4,18
7700274,12,4,0,0,0,1,12,4,16
7662363,2,4,6,0,0,1,8,4,12
8471839,4,5,8,0,0,1,12,5,17
3475077,46,5,51,0,20,1,97,25,122
2645476,16,5,0,0,6,1,16,11,27
4551026,16,5,43,0,7,1,59,12,71
8262886,137,5,582,0,0,1,719,5,724
3108815,8,5,2,0,0,1,10,5,15
6590514,7,5,13,0,0,1,20,5,25
1904373,155,5,577,0,6,1,732,11,743
7870658,19,5,12,0,0,1,31,5,36
3184472,4,5,12,0,51,1,16,56,72
4322356,6,5,3,0,0,1,9,5,14
5334385,17,5,21,0,0,1,38,5,43
2038144,1,5,6,0,0,1,7,5,12
4538543,61,6,48,0,150,1,109,156,265
6116514,11,6,12,0,15,1,23,21,44
1824533,4,6,0,0,23,1,4,29,33
5897675,32,6,46,0,1,1,78,7,85
1386595,9,6,13,0,2,1,22,8,30
4824782,11,6,25,0,1,1,36,7,43
4117642,26,6,19,0,5,1,45,11,56
3381390,7,6,0,0,48,1,7,54,61
2542321,24,6,105,0,0,1,129,6,135
1587452,1,6,11,0,0,1,12,6,18
3143453,22,7,11,0,78,1,33,85,118
2820520,105,7,199,0,0,1,304,7,311
2636311,173,7,298,0,4,1,471,11,482
6339593,9,7,14,0,1,1,23,8,31
1671724,3,7,13,0,1,1,16,8,24
1322961,13,7,55,0,1,1,68,8,76
5974857,22,7,15,0,0,1,37,7,44
8283550,3,7,10,0,0,1,13,7,20
6427223,42,7,15,0,4,1,57,11,68
4923214,56,8,104,0,10,1,160,18,178
7989475,20,8,15,0,6,1,35,14,49
8174233,3,8,5,0,0,1,8,8,16
7910702,13,8,5,0,1,1,18,9,27
2598352,24,8,17,0,1,1,41,9,50
7175350,1,8,6,0,0,1,7,8,15
2102834,46,8,60,0,0,1,106,8,114
7434389,31,9,15,0,1,1,46,10,56
4635311,1,9,3,0,0,1,4,9,13
2678616,0,9,2,0,0,1,2,9,11
8779560,52,9,46,0,1,1,98,10,108
3746522,5,9,0,0,0,1,5,9,14
4991676,5,9,1,0,0,1,6,9,15
7270435,12,9,16,0,0,1,28,9,37
5763974,29,9,12,0,52,1,41,61,102
4603662,5,9,5,0,0,1,10,9,19
4967426,83,9,100,0,4,1,183,13,196
3506706,26,9,17,0,3,1,43,12,55
7432867,9,10,9,0,0,1,18,10,28
6824324,11,10,267,0,7,1,278,17,295
6604479,23,10,18,0,0,1,41,10,51
7807270,77,10,119,0,40,1,196,50,246
1740150,1,10,1,0,1,1,2,11,13
5154676,29,10,79,0,0,1,108,10,118
6436155,3,10,3,0,0,1,6,10,16
6293464,7,10,0,0,57,1,7,67,74
6403499,17,10,16,0,4,1,33,14,47
5972088,2,10,0,0,0,1,2,10,12
1493023,20,10,33,0,0,1,53,10,63
1513475,122,11,201,0,1,1,323,12,335
4265182,7,11,13,0,0,1,20,11,31
1436447,21,11,40,0,0,1,61,11,72
4518298,75,11,44,0,14,1,119,25,144
1593131,16,11,18,0,0,1,34,11,45
1041777,80,11,66,0,1,1,146,12,158
3968436,33,11,274,0,0,1,307,11,318
2853933,45,11,20,0,21,1,65,32,97
7103818,6,11,3,0,0,1,9,11,20
2797126,17,12,15,0,0,1,32,12,44
8457557,8,12,9,0,0,1,17,12,29
1159428,105,12,51,0,12,1,156,24,180
4102590,101,12,38,0,0,1,139,12,151
7822780,2,12,10,0,0,1,12,12,24
5347552,141,12,78,0,0,1,219,12,231
4916659,17,13,27,0,43,1,44,56,100
7321459,79,13,93,0,17,1,172,30,202
8555603,38,13,32,0,0,1,70,13,83
6675451,9,13,11,0,1,1,20,14,34
5415405,198,13,544,0,60,1,742,73,815
8672552,67,13,139,0,40,1,206,53,259
1992045,22,13,65,0,6,1,87,19,106
2230668,51,14,19,0,0,1,70,14,84
3108040,16,14,7,0,0,1,23,14,37
2587921,2,14,2,0,0,1,4,14,18
3533833,86,14,80,0,37,1,166,51,217
2079388,47,14,90,0,1,1,137,15,152
2726514,14,14,24,0,4,1,38,18,56
3363172,78,15,1674,0,3,1,1752,18,1770
4758406,21,15,13,0,0,1,34,15,49
5406019,114,15,63,0,2,1,177,17,194
2106751,52,15,35,0,1,1,87,16,103
